user,time slot,region,ground truth,sensing traffic,prediction,noise(pp),with accident
5,21,15,86.0,86.0,70.0,0.0,0.0
5,57,13,140.0,140.0,143.0,0.0,0.0
5,8,21,198.0,198.0,187.0,0.0,0.0
5,33,21,29.0,29.0,30.0,0.0,0.0
5,89,16,59.0,59.0,56.0,0.0,0.0
5,20,17,0.0,0.0,0.0,0.0,0.0
5,117,5,72.0,72.0,67.0,0.0,0.0
5,67,9,223.0,223.0,222.0,0.0,0.0
5,62,3,53.0,53.0,57.0,0.0,0.0
5,71,0,43.0,43.0,46.0,0.0,0.0
5,77,31,0.0,0.0,0.0,0.0,0.0
5,96,5,60.0,60.0,80.0,0.0,0.0
5,0,30,66.0,66.0,69.0,0.0,0.0
5,4,0,89.0,89.0,89.0,0.0,0.0
5,63,17,0.0,0.0,1.0,0.0,0.0
5,41,18,183.0,183.0,206.0,0.0,0.0
5,39,4,54.0,54.0,48.0,0.0,0.0
5,59,2,71.0,71.0,76.0,0.0,0.0
5,6,16,109.0,109.0,101.0,0.0,0.0
5,53,29,6.0,6.0,8.0,0.0,0.0
5,24,3,46.0,46.0,47.0,0.0,0.0
5,70,2,115.0,115.0,108.0,0.0,0.0
5,81,10,18.0,18.0,25.0,0.0,0.0
5,10,13,172.0,172.0,150.0,0.0,0.0
5,92,16,63.0,63.0,50.0,0.0,0.0
5,16,7,199.0,199.0,180.0,0.0,0.0
5,1,21,171.0,171.0,184.0,0.0,0.0
5,51,9,329.0,329.0,352.0,0.0,0.0
5,86,31,0.0,0.0,0.0,0.0,0.0
6,40,0,36.0,48.0,47.0,0.3392322308940898,0.0
6,46,10,224.0,257.0,208.0,0.1456845838023314,0.0
6,72,18,50.0,61.0,40.0,0.226698872281496,0.0
6,116,11,54.0,77.0,35.0,0.4183510319447859,0.0
6,108,26,48.0,65.0,71.0,0.3578327284165249,0.0
6,5,31,0.0,1.0,1.0,0.3153157726615935,0.0
6,115,23,20.0,28.0,24.0,0.3821504148522485,0.0
6,95,27,59.0,76.0,61.0,0.2906242604429674,0.0
6,89,2,47.0,56.0,56.0,0.2004572563739793,0.0
6,77,25,10.0,14.0,8.0,0.3774218619938647,0.0
6,83,2,18.0,23.0,19.0,0.2692825966643195,0.0
6,63,30,52.0,73.0,57.0,0.4098210947543601,0.0
6,91,3,43.0,56.0,37.0,0.3020328148393453,0.0
6,82,30,10.0,13.0,12.0,0.3313856501493057,0.0
6,58,27,88.0,119.0,84.0,0.3520959689313044,0.0
6,81,3,5.0,7.0,7.0,0.4099676863666621,0.0
6,55,18,154.0,214.0,169.0,0.39169396753918,0.0
6,47,14,92.0,124.0,116.0,0.3437566792522526,0.0
6,68,3,65.0,81.0,53.0,0.2509811163642035,0.0
6,22,20,261.0,363.0,279.0,0.3911619564512709,0.0
6,26,17,0.0,1.0,0.0,0.4774764891327802,0.0
6,48,18,207.0,296.0,200.0,0.4279253287754697,0.0
6,75,27,23.0,26.0,27.0,0.1108280710703983,0.0
6,37,14,57.0,76.0,74.0,0.3311758604779071,0.0
6,1,9,353.0,491.0,366.0,0.3907458607677695,0.0
6,17,26,124.0,160.0,121.0,0.2863449925138124,0.0
6,19,1,107.0,123.0,116.0,0.1462483546582054,0.0
6,34,4,18.0,24.0,13.0,0.3203205618452404,0.0
6,42,10,175.0,214.0,206.0,0.2240911114183894,0.0
6,43,22,178.0,238.0,144.0,0.337759612177325,0.0
7,94,11,59.0,59.0,61.0,0.0,0.0
7,87,8,140.0,140.0,123.0,0.0,0.0
