user,time slot,region,ground truth,sensing traffic,prediction,noise(pp)
6,72,18,50.0,61,40,0.22669887228149604
6,116,11,54.0,77,35,0.41835103194478596
6,108,26,48.0,65,71,0.3578327284165249
6,5,31,0.0,1,1,0.3153157726615935
6,115,23,20.0,28,24,0.38215041485224854
6,95,27,59.0,76,61,0.29062426044296746
6,89,2,47.0,56,56,0.20045725637397932
6,77,25,10.0,14,8,0.3774218619938647
6,83,2,18.0,23,19,0.2692825966643195
6,63,30,52.0,73,57,0.4098210947543601
6,91,3,43.0,56,37,0.3020328148393453
6,82,30,10.0,13,12,0.3313856501493057
6,58,27,88.0,119,84,0.35209596893130446
6,81,3,5.0,7,7,0.40996768636666214
6,55,18,154.0,214,169,0.39169396753918007
6,47,14,92.0,124,116,0.3437566792522526
6,68,3,65.0,81,53,0.25098111636420356
6,22,20,261.0,363,279,0.39116195645127094
6,26,17,0.0,1,0,0.47747648913278024
6,48,18,207.0,296,200,0.42792532877546974
6,75,27,23.0,26,27,0.1108280710703983
6,37,14,57.0,76,74,0.3311758604779071
6,1,9,353.0,491,366,0.3907458607677695
6,17,26,124.0,160,121,0.28634499251381246
6,19,1,107.0,123,116,0.14624835465820543
6,34,4,18.0,24,13,0.3203205618452404
6,42,10,175.0,214,206,0.22409111141838944
6,43,22,178.0,238,144,0.33775961217732503
7,94,11,59.0,59,61,0.0
7,87,8,140.0,140,123,0.0
7,114,11,39.0,39,48,0.0
7,19,2,91.0,91,99,0.0
7,21,19,55.0,55,44,0.0
7,80,16,8.0,8,7,0.0
7,72,0,26.0,26,23,0.0
7,48,22,146.0,146,154,0.0
7,103,0,55.0,55,30,0.0
7,81,6,38.0,38,34,0.0
7,11,19,53.0,53,56,0.0
7,8,14,122.0,122,127,0.0
7,111,10,84.0,84,91,0.0
7,10,19,64.0,64,54,0.0
7,25,24,25.0,25,35,0.0
7,95,28,13.0,13,11,0.0
7,28,8,22.0,22,26,0.0
7,7,13,190.0,190,180,0.0
7,49,30,74.0,74,72,0.0
7,1,24,130.0,130,135,0.0
7,12,29,3.0,3,6,0.0
7,50,2,102.0,102,97,0.0
7,71,3,35.0,35,56,0.0
7,66,30,64.0,64,54,0.0
7,37,2,50.0,50,50,0.0
7,57,11,62.0,62,65,0.0
7,62,13,146.0,146,151,0.0
7,74,16,22.0,22,16,0.0
7,91,8,140.0,140,140,0.0
7,86,8,114.0,114,99,0.0
8,66,19,26.0,26,48,0.0
8,63,31,0.0,0,1,0.0
8,86,8,114.0,114,99,0.0
8,113,26,54.0,54,67,0.0
8,41,2,87.0,87,78,0.0
8,106,24,61.0,61,71,0.0
8,118,20,131.0,131,137,0.0
8,116,3,39.0,39,32,0.0
8,81,12,14.0,14,8,0.0
8,85,29,4.0,4,2,0.0
8,25,14,57.0,57,34,0.0
8,69,0,70.0,70,71,0.0
8,78,4,7.0,7,11,0.0
8,28,3,12.0,12,11,0.0
8,1,13,171.0,171,166,0.0
8,43,11,84.0,84,68,0.0
8,90,28,6.0,6,10,0.0
8,95,22,116.0,116,97,0.0
8,40,13,123.0,123,141,0.0
8,115,25,20.0,20,25,0.0
8,4,13,182.0,182,195,0.0
8,67,11,42.0,42,46,0.0
8,18,24,70.0,70,92,0.0
8,32,16,14.0,14,6,0.0
8,77,24,9.0,9,17,0.0
8,19,29,7.0,7,6,0.0
